COG14_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_PATHOGEN	p_COMMENSAL	N_PATHOGEN	N_COMMENSAL
Dihydrodipicolinate reductase	0	1	1	NA	COG0289	GC_00002026	1	1	27	19
Hydroxyethylthiazole kinase, sugar kinase family	0	1	1	NA	COG2145	GC_00002527	1	1	27	19
Molybdopterin-guanine dinucleotide biosynthesis protein	0	1	1	NA	COG1763	GC_00002117	1	1	27	19
Pseudouridine-5'-phosphate glycosidase (pseudoU degradation)	0	1	1	NA	COG2313	GC_00000189	1	1	27	19
Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	0	1	1	NA	COG0027	GC_00000411	1	1	27	19
Uncharacterized membrane protein	0	1	1	NA	COG3650	GC_00001714, GC_00004371, GC_00005378, GC_00005483, GC_00006301, GC_00007260, GC_00007812, GC_00008976	1	1	27	19
Holliday junction resolvasome RuvABC DNA-binding subunit	0	1	1	NA	COG0632	GC_00001092	1	1	27	19
Acyl-CoA thioesterase	0	1	1	NA	COG1946	GC_00001399	1	1	27	19
Uncharacterized membrane protein, required for colicin V production	0	1	1	NA	COG1286	GC_00001291	1	1	27	19
CO or xanthine dehydrogenase, Mo-binding subunit!!!Aerobic-type carbon monoxide dehydrogenase, small subunit, CoxS/CutS family	0	1	1	NA	COG1529!!!COG2080	GC_00000232	1	1	27	19
tRNA nucleotidyltransferase/poly(A) polymerase	0	1	1	NA	COG0617	GC_00001422, GC_00002349	1	1	27	19
DNA-directed RNA polymerase, beta subunit/140 kD subunit	0	1	1	NA	COG0085	GC_00000906	1	1	27	19
Methionyl-tRNA formyltransferase!!!Nucleoside-diphosphate-sugar epimerase	0	1	1	NA	COG0223!!!COG0451	GC_00002639	1	1	27	19
NADPH-dependent glutamate synthase beta chain or related oxidoreductase!!!Ferredoxin	0	1	1	NA	COG0493!!!COG1145	GC_00000256	1	1	27	19
Polyisoprenoid-binding periplasmic protein YceI	0	1	1	NA	COG2353	GC_00001430	1	1	27	19
RNA 3'-terminal phosphate cyclase	0	1	1	NA	COG0430	GC_00002927	1	1	27	19
Acetylglutamate kinase!!!N-acetylglutamate synthase or related acetyltransferase, GNAT family	0	1	1	NA	COG0548!!!COG1246	GC_00001156	1	1	27	19
Non-canonical (house-cleaning) NTP pyrophosphatase, all-alpha NTP-PPase family	0	1	1	NA	COG1986	GC_00002654	1	1	27	19
N-acetylmuramoyl-L-alanine amidase	0	1	1	NA	COG0860	GC_00000269, GC_00002466, GC_00002855	1	1	27	19
Aspartate ammonia-lyase	0	1	1	NA	COG1027	GC_00000828, GC_00007620	1	1	27	19
NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase!!!2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family	0	1	1	NA	COG0446!!!COG1902	GC_00002623	1	1	27	19
GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants!!!EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	0	1	1	NA	COG2199!!!COG2200	GC_00000152, GC_00002572, GC_00002618, GC_00002664	1	1	27	19
Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH	0	1	1	NA	COG3625	GC_00002488	1	1	27	19
Acetolactate synthase small subunit, contains ACT domain	0	1	1	NA	COG3978	GC_00000621	1	1	27	19
Phosphopantetheine adenylyltransferase!!!Transcriptional regulator, contains XRE-family HTH domain!!!Nicotinamide riboside kinase	0	1	1	NA	COG0669!!!COG1396!!!COG3172	GC_00002425	1	1	27	19
Predicted hydrolase of the alpha/beta-hydrolase fold	0	1	1	NA	COG0429	GC_00002649	1	1	27	19
Uridine phosphorylase	0	1	1	NA	COG2820	GC_00002059	1	1	27	19
Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	0	1	1	NA	COG0041	GC_00001222	1	1	27	19
Sulfur transfer complex TusBCD TusB component, DsrH family	0	1	1	NA	COG2168	GC_00001961	1	1	27	19
dGTP triphosphohydrolase	0	1	1	NA	COG0232	GC_00002511, GC_00009018, GC_00009079	1	1	27	19
Predicted small periplasmic lipoprotein YifL (function unknown0	0	1	1	NA	COG5567	GC_00000880	1	1	27	19
DNA-directed RNA polymerase, subunit K/omega	0	1	1	NA	COG1758	GC_00000609	1	1	27	19
Anaerobic C4-dicarboxylate transporter	0	1	1	NA	COG2704	GC_00000819, GC_00000928, GC_00008518, GC_00009964, GC_00011502, GC_00011767	1	1	27	19
Recombinational DNA repair protein RecR	0	1	1	NA	COG0353	GC_00000851	1	1	27	19
Acyl carrier protein phosphodiesterase	0	1	1	NA	COG3124	GC_00002168	1	1	27	19
Nitrate/nitrite transporter NarK	0	1	1	NA	COG2223	GC_00000240, GC_00000449, GC_00001227, GC_00001378, GC_00002326, GC_00002429, GC_00003114, GC_00004205, GC_00004380	1	1	27	19
Mannose-6-phosphate isomerase, class I	0	1	1	NA	COG1482	GC_00002982	1	1	27	19
Folate-binding Fe-S cluster repair protein YgfZ, possible role in tRNA modification	0	1	1	NA	COG0354	GC_00002215	1	1	27	19
Cell shape-determining protein MreD	0	1	1	NA	COG2891	GC_00000683	1	1	27	19
Cell division protein FtsL, interacts with FtsB, FtsL and FtsQ	0	1	1	NA	COG3116	GC_00000538	1	1	27	19
tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family	0	1	1	NA	COG2265	GC_00002078, GC_00002739, GC_00002920	1	1	27	19
DNA-binding transcriptional regulator, LacI/PurR family!!!AraC-type DNA-binding domain and AraC-containing proteins	0	1	1	NA	COG1609!!!COG2207	GC_00000272	1	1	27	19
Tetratricopeptide (TPR) repeat!!!Negative regulator of GroEL, contains thioredoxin-like and TPR-like domains	0	1	1	NA	COG0457!!!COG3118	GC_00000192	1	1	27	19
Thymidine kinase	0	1	1	NA	COG1435	GC_00002207	1	1	27	19
Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase	0	1	1	NA	COG2723	GC_00002711, GC_00003633, GC_00003665, GC_00004144	1	1	27	19
Maltoporin (phage lambda and maltose receptor)	0	1	1	NA	COG4580	GC_00002220, GC_00003639, GC_00004155, GC_00005410	1	1	27	19
Membrane protein insertase Oxa1/YidC/SpoIIIJ, required for the localization of integral membrane proteins	0	1	1	NA	COG0706	GC_00001183	1	1	27	19
Heme exporter protein D	0	1	1	NA	COG3114	GC_00000553	1	1	27	19
Phosphoenolpyruvate carboxylase	0	1	1	NA	COG2352	GC_00001866	1	1	27	19
Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB	0	1	1	NA	COG3444	GC_00001517, GC_00003123, GC_00003873, GC_00006829, GC_00007429, GC_00011949	1	1	27	19
Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family	0	1	1	NA	COG0639	GC_00002306, GC_00002578, GC_00003347, GC_00004206, GC_00007815, GC_00008783, GC_00012054	1	1	27	19
Ketol-acid reductoisomerase	0	1	1	NA	COG0059	GC_00002351	1	1	27	19
Outer membrane protein TolC	0	1	1	NA	COG1538	GC_00000483, GC_00001702, GC_00002718, GC_00002952, GC_00003986, GC_00005355, GC_00006580, GC_00006678, GC_00009501	1	1	27	19
Regulator of sirC expression, contains transglutaminase-like and TPR domains	0	1	1	NA	COG2912	GC_00001251	1	1	27	19
Adenylosuccinate synthase	0	1	1	NA	COG0104	GC_00000274	1	1	27	19
16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family!!!Ribosome biogenesis protein, NOL1/NOP2/fmu family	0	1	1	NA	COG0144!!!COG3270	GC_00003014	1	1	27	19
Tryptophan synthase alpha chain	0	1	1	NA	COG0159	GC_00002390	1	1	27	19
23S rRNA pseudoU1915 N3-methylase RlmH	0	1	1	NA	COG1576	GC_00000263	1	1	27	19
Fe-S-cluster-containing dehydrogenase component	0	1	1	NA	COG0437	GC_00000030, GC_00000031, GC_00001534, GC_00001538, GC_00001565, GC_00002391, GC_00006049, GC_00010172, GC_00011713	1	1	27	19
Ni,Fe-hydrogenase III small subunit	0	1	1	NA	COG3260	GC_00001824, GC_00003781	1	1	27	19
Nitrate reductase alpha subunit	0	1	1	NA	COG5013	GC_00000038	1	1	27	19
Cell wall-associated hydrolase, NlpC family	0	1	1	NA	COG0791	GC_00000811, GC_00002018, GC_00002097, GC_00002895, GC_00002935	1	1	27	19
Dehydrogenase (flavoprotein)	0	1	1	NA	COG0644	GC_00001452, GC_00002680, GC_00002941, GC_00003246, GC_00006359, GC_00006487	1	1	27	19
3-oxoacyl-[acyl-carrier-protein] synthase III	0	1	1	NA	COG0332	GC_00001219, GC_00005269	1	1	27	19
RNase P protein component	0	1	1	NA	COG0594	GC_00001057	1	1	27	19
ABC-type methionine transport system, permease component	0	1	1	NA	COG2011	GC_00001641	1	1	27	19
Sensor histidine kinase, LytS/YehU family	0	1	1	NA	COG3275	GC_00001271, GC_00001493, GC_00003671	1	1	27	19
Small-conductance mechanosensitive channel	0	1	1	NA	COG0668	GC_00001624, GC_00002261, GC_00002388, GC_00003106	1	1	27	19
Phosphotransferase system cellobiose-specific component IIA	0	1	1	NA	COG1447	GC_00001078, GC_00004219	1	1	27	19
Chaperonin GroEL (HSP60 family)	0	1	1	NA	COG0459	GC_00000790	1	1	27	19
DNA polymerase III, psi subunit	0	1	1	NA	COG3050	GC_00000349	1	1	27	19
CMP-2-keto-3-deoxyoctulosonic acid synthetase	0	1	1	NA	COG1212	GC_00002471, GC_00004247	1	1	27	19
Uncharacterized membrane protein YebE, DUF533 family	0	1	1	NA	COG2979	GC_00002526	1	1	27	19
Ferric iron reductase protein FhuF, involved in iron transport	0	1	1	NA	COG4114	GC_00000235	1	1	27	19
Pentose-5-phosphate-3-epimerase	0	1	1	NA	COG0036	GC_00000672, GC_00003754, GC_00004789, GC_00008834	1	1	27	19
Uncharacterized conserved protein YggT, Ycf19 family	0	1	1	NA	COG0762	GC_00000864	1	1	27	19
Methylglyoxal synthase	0	1	1	NA	COG1803	GC_00001468	1	1	27	19
Nitroreductase	0	1	1	NA	COG0778	GC_00001622, GC_00002162, GC_00002310, GC_00002828, GC_00009823	1	1	27	19
DNA-binding transcriptional regulator, IscR family	0	1	1	NA	COG1959	GC_00000982, GC_00001302	1	1	27	19
Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain	0	1	1	NA	COG3093	GC_00001129, GC_00003450, GC_00010143, GC_00010159, GC_00010282	1	1	27	19
ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain	0	1	1	NA	COG1879	GC_00000202, GC_00000328, GC_00001707, GC_00002608, GC_00002684, GC_00003074, GC_00003756, GC_00003822, GC_00004220, GC_00004446, GC_00005662, GC_00007176, GC_00007506	1	1	27	19
Putative hemolysin	0	1	1	NA	COG3042	GC_00001546, GC_00003042	1	1	27	19
Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains)!!!LysM repeat	0	1	1	NA	COG0741!!!COG1388	GC_00000295	1	1	27	19
Phosphoglycerol transferase MdoB or a related enzyme of AlkP superfamily	0	1	1	NA	COG1368	GC_00002799, GC_00010986	1	1	27	19
Environmental sensor c-di-GMP phosphodiesterase, contains periplasmic CSS-motif sensor and cytoplasmic EAL domain	0	1	1	NA	COG4943	GC_00000187, GC_00002965, GC_00005740, GC_00011283	1	1	27	19
L-ribulose-5-phosphate 3-epimerase UlaE	0	1	1	NA	COG3623	GC_00002361, GC_00003578	1	1	27	19
Ribosomal protein S6	0	1	1	NA	COG0360	GC_00000993, GC_00010171	1	1	27	19
Aspartate oxidase	0	1	1	NA	COG0029	GC_00000499	1	1	27	19
DNA-binding protein Fis (factor for inversion stimulation)	0	1	1	NA	COG2901	GC_00000623	1	1	27	19
Ribosomal protein L7/L12	0	1	1	NA	COG0222	GC_00000692	1	1	27	19
Phosphate starvation-inducible protein PhoH, predicted ATPase	0	1	1	NA	COG1702	GC_00000528, GC_00001980	1	1	27	19
3-methyladenine DNA glycosylase Tag	0	1	1	NA	COG2818	GC_00002725	1	1	27	19
UDP-N-acetylglucosamine 2-epimerase	0	1	1	NA	COG0381	GC_00001849, GC_00005733, GC_00007607, GC_00009131, GC_00009465, GC_00011694, GC_00011848	1	1	27	19
dTDP-4-amino-4,6-dideoxygalactose transaminase	0	1	1	NA	COG0399	GC_00002381, GC_00002516, GC_00006322, GC_00006386, GC_00010253	1	1	27	19
DNA-binding transcriptional regulator, MocR family, contains an aminotransferase domain	0	1	1	NA	COG1167	GC_00002612, GC_00003937, GC_00004086, GC_00012062	1	1	27	19
Ribosomal protein L20	0	1	1	NA	COG0292	GC_00000569	1	1	27	19
1,4-dihydroxy-2-naphthoate octaprenyltransferase	0	1	1	NA	COG1575	GC_00001815	1	1	27	19
DMSO reductase anchor subunit	0	1	1	NA	COG3302	GC_00002609, GC_00003177, GC_00005970	1	1	27	19
Fumarate hydratase class II	0	1	1	NA	COG0114	GC_00002505	1	1	27	19
DNA-binding transcriptional regulator, GntR family	0	1	1	NA	COG2188	GC_00001300, GC_00001520, GC_00001982, GC_00002094, GC_00003060, GC_00003545, GC_00003652, GC_00003802, GC_00003899, GC_00004012, GC_00004096, GC_00004114, GC_00004143, GC_00004345, GC_00004560, GC_00005340, GC_00007393, GC_00011579	1	1	27	19
Ketopantoate reductase	0	1	1	NA	COG1893	GC_00000426	1	1	27	19
Methylmalonyl-CoA mutase, N-terminal domain/subunit!!!Methylmalonyl-CoA mutase, C-terminal domain/subunit (cobalamin-binding)	0	1	1	NA	COG1884!!!COG2185	GC_00000179	1	1	27	19
ATP-dependent protease HslVU (ClpYQ), peptidase subunit	0	1	1	NA	COG5405	GC_00000912	1	1	27	19
P pilus assembly protein, chaperone PapD	0	1	1	NA	COG3121	GC_00003400, GC_00003449, GC_00003494, GC_00003527, GC_00003597, GC_00003613, GC_00003821, GC_00003891, GC_00003907, GC_00004001, GC_00004074, GC_00004091, GC_00004275, GC_00004487, GC_00004709, GC_00004824, GC_00004895, GC_00005015, GC_00005070, GC_00005213, GC_00005351, GC_00005369, GC_00005569, GC_00005742, GC_00005751, GC_00005997, GC_00006159, GC_00006461, GC_00006617, GC_00006791, GC_00007012, GC_00008465, GC_00009069, GC_00009285, GC_00009317, GC_00009688, GC_00009700, GC_00009730, GC_00009918, GC_00010318, GC_00010502, GC_00010692, GC_00010990, GC_00011368, GC_00012124	1	1	27	19
Allophanate hydrolase subunit 2	0	1	1	NA	COG1984	GC_00002475	1	1	27	19
DNA-binding transcriptional regulator, MarR family!!!Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain	0	1	1	NA	COG1846!!!COG1940	GC_00000684	1	1	27	19
Chromosome condensin MukBEF complex, kleisin-like MukF subunit	0	1	1	NA	COG3006	GC_00001813	1	1	27	19
TPR repeat	0	1	1	NA	COG0790	GC_00001315, GC_00003627, GC_00003932, GC_00004089, GC_00004859, GC_00005156, GC_00005637	1	1	27	19
CTP:molybdopterin cytidylyltransferase MocA	0	1	1	NA	COG2068	GC_00002158, GC_00009456	1	1	27	19
Homoserine dehydrogenase!!!Aspartokinase	0	1	1	NA	COG0460!!!COG0527	GC_00002039, GC_00002374	1	1	27	19
Site-specific DNA-adenine methylase	0	1	1	NA	COG0338	GC_00001610, GC_00005277, GC_00007361, GC_00010003, GC_00010510, GC_00010513, GC_00010603, GC_00011827	1	1	27	19
Predicted Na+-dependent transporter	0	1	1	NA	COG0385	GC_00001627	1	1	27	19
Cupin domain protein related to quercetin dioxygenase!!!AraC-type DNA-binding domain and AraC-containing proteins	0	1	1	NA	COG1917!!!COG2207	GC_00000432, GC_00003094, GC_00003148, GC_00004536, GC_00011648	1	1	27	19
Uncharacterized conserved protein YhhL, DUF1145 family	0	1	1	NA	COG3776	GC_00000956	1	1	27	19
Uncharacterized  conserved protein YbaA, DUF1428 family	0	1	1	NA	COG5507	GC_00000986	1	1	27	19
Pyruvate kinase	0	1	1	NA	COG0469	GC_00000989, GC_00001926	1	1	27	19
Outer membrane usher protein FimD/PapC	0	1	1	NA	COG3188	GC_00000139, GC_00000153, GC_00003351, GC_00003417, GC_00003556, GC_00003643, GC_00003663, GC_00003744, GC_00003786, GC_00003934, GC_00004048, GC_00004193, GC_00004667, GC_00004829, GC_00004860, GC_00004917, GC_00004925, GC_00005078, GC_00005268, GC_00005409, GC_00005432, GC_00005802, GC_00006184, GC_00006454, GC_00006507, GC_00006782, GC_00007602, GC_00007647, GC_00008228, GC_00008276, GC_00009173, GC_00009319, GC_00010612, GC_00010830, GC_00011123, GC_00011160, GC_00011369, GC_00012011, GC_00012141	1	1	27	19
4-alpha-glucanotransferase	0	1	1	NA	COG1640	GC_00003024	1	1	27	19
Uncharacterized conserved protein YdgA, DUF945 family	0	1	1	NA	COG5339	GC_00000193, GC_00002548	1	1	27	19
Cell division protein FtsI/penicillin-binding protein 2	0	1	1	NA	COG0768	GC_00000264, GC_00001605	1	1	27	19
tRNA A37 threonylcarbamoyltransferase TsaD	0	1	1	NA	COG0533	GC_00002076	1	1	27	19
Uncharacterized conserved protein YegL, contains vWA domain of TerY type	0	1	1	NA	COG4245	GC_00000448, GC_00009661, GC_00011582, GC_00011608	1	1	27	19
Glycerol uptake facilitator and related aquaporins (Major Intrinsic Protein Family)	0	1	1	NA	COG0580	GC_00000954, GC_00001720, GC_00006605, GC_00010022	1	1	27	19
Glutamate dehydrogenase/leucine dehydrogenase	0	1	1	NA	COG0334	GC_00001999	1	1	27	19
ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme	0	1	1	NA	COG0319	GC_00001762	1	1	27	19
Aldehyde:ferredoxin oxidoreductase	0	1	1	NA	COG2414	GC_00000238	1	1	27	19
Putative Zn-dependent protease, contains TPR repeats	0	1	1	NA	COG4783	GC_00001700, GC_00003345	1	1	27	19
Glutathione S-transferase	0	1	1	NA	COG0625	GC_00000332, GC_00000554, GC_00000992, GC_00001116, GC_00001586, GC_00001889, GC_00002508, GC_00002917, GC_00005512	1	1	27	19
N-acetylglucosamine-6-phosphate deacetylase	0	1	1	NA	COG1820	GC_00001882, GC_00002605	1	1	27	19
Ethanolamine utilization protein EutS, ethanolamine utilization microcompartment shell protein	0	1	1	NA	COG4810	GC_00000971, GC_00006415	1	1	27	19
Acyl-CoA thioesterase FadM	0	1	1	NA	COG0824	GC_00000697, GC_00001841, GC_00004775	1	1	27	19
Signal transduction histidine kinase, nitrate/nitrite-specific!!!Signal transduction histidine kinase	0	1	1	NA	COG3850!!!COG5002	GC_00002457	1	1	27	19
Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake	0	1	1	NA	COG0758	GC_00000429, GC_00004457, GC_00007799	1	1	27	19
Dihydroneopterin aldolase	0	1	1	NA	COG1539	GC_00000895, GC_00001003	1	1	27	19
Membrane protein involved in colicin uptake	0	1	1	NA	COG3064	GC_00000016, GC_00002204, GC_00005567, GC_00005576, GC_00006043, GC_00006986, GC_00008626, GC_00009505, GC_00010583, GC_00010806, GC_00011308, GC_00012023	1	1	27	19
Uridylate kinase	0	1	1	NA	COG0528	GC_00000595	1	1	27	19
Uncharacterized conserved protein YqcC, DUF446 family	0	1	1	NA	COG3098	GC_00002539	1	1	27	19
Dipeptide/tripeptide permease	0	1	1	NA	COG3104	GC_00002108, GC_00002181, GC_00002307, GC_00002387	1	1	27	19
Na+(or H+)/acetate symporter ActP	0	1	1	NA	COG4147	GC_00002568	1	1	27	19
Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfA subunit	0	1	1	NA	COG4657	GC_00000955	1	1	27	19
N-acetyl-gamma-glutamylphosphate reductase	0	1	1	NA	COG0002	GC_00001978	1	1	27	19
Lipid A disaccharide synthetase	0	1	1	NA	COG0763	GC_00002292	1	1	27	19
ABC-type branched-chain amino acid transport system, ATPase component	0	1	1	NA	COG0410	GC_00001117, GC_00001195	1	1	27	19
Transcription termination factor Rho	0	1	1	NA	COG1158	GC_00000921	1	1	27	19
L-fucose isomerase or related protein	0	1	1	NA	COG2407	GC_00002620	1	1	27	19
ABC-type uncharacterized transport system YnjBCD, ATPase component	0	1	1	NA	COG4136	GC_00002517	1	1	27	19
Uncharacterized conserved protein YfaT, DUF1175 family	0	1	1	NA	COG3234	GC_00002243	1	1	27	19
Signal transduction histidine kinase, nitrogen specific	0	1	1	NA	COG3852	GC_00001471, GC_00003702	1	1	27	19
6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	0	1	1	NA	COG0054	GC_00000877	1	1	27	19
Ni2+-binding GTPase involved in regulation of expression and maturation of urease and hydrogenase	0	1	1	NA	COG0378	GC_00001290, GC_00005508	1	1	27	19
FoF1-type ATP synthase, membrane subunit b or b'	0	1	1	NA	COG0711	GC_00000781	1	1	27	19
ABC-type microcin C transport system, duplicated ATPase component YejF	0	1	1	NA	COG4172	GC_00000465, GC_00002879	1	1	27	19
Asp/Glu/hydantoin racemase	0	1	1	NA	COG4126	GC_00002350	1	1	27	19
NaMN:DMB phosphoribosyltransferase	0	1	1	NA	COG2038	GC_00002357	1	1	27	19
Ribosomal protein L10	0	1	1	NA	COG0244	GC_00000572	1	1	27	19
Preprotein translocase subunit YajC	0	1	1	NA	COG1862	GC_00000591	1	1	27	19
Adenylosuccinate lyase	0	1	1	NA	COG0015	GC_00001831	1	1	27	19
Rare lipoprotein A, peptidoglycan hydrolase digesting ""naked"" glycans, contains C-terminal SPOR domain!!!Cell division protein FtsN	0	1	1	NA	COG0797!!!COG3087	GC_00000395	1	1	27	19
Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific!!!Phosphotransferase system IIB components!!!Phosphotransferase system IIA component	0	1	1	NA	COG1263!!!COG1264!!!COG2190	GC_00002299, GC_00003662	1	1	27	19
Putative lipoic acid-binding regulatory protein	0	1	1	NA	COG2921	GC_00000258	1	1	27	19
Ribosomal protein S20	0	1	1	NA	COG0268	GC_00000654	1	1	27	19
Outer membrane phospholipase A	0	1	1	NA	COG2829	GC_00001701	1	1	27	19
Cysteine synthase	0	1	1	NA	COG0031	GC_00000888, GC_00002420	1	1	27	19
Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase	0	1	1	NA	COG2146	GC_00001615, GC_00003787	1	1	27	19
DNA polymerase III, delta subunit	0	1	1	NA	COG1466	GC_00000458	1	1	27	19
Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins	0	1	1	NA	COG2885	GC_00001174, GC_00001329, GC_00002249, GC_00004665, GC_00005488	1	1	27	19
L-rhamnose isomerase	0	1	1	NA	COG4806	GC_00002953	1	1	27	19
Epoxyqueuosine reductase  QueG (queuosine biosynthesis)	0	1	1	NA	COG1600	GC_00000373	1	1	27	19
Methionyl-tRNA formyltransferase	0	1	1	NA	COG0223	GC_00002564	1	1	27	19
UDP-glucose 6-dehydrogenase	0	1	1	NA	COG1004	GC_00003248, GC_00008197, GC_00008873	1	1	27	19
Ribosomal protein L4	0	1	1	NA	COG0088	GC_00000597	1	1	27	19
2-keto-3-deoxy-6-phosphogluconate aldolase	0	1	1	NA	COG0800	GC_00000990, GC_00003529, GC_00004186	1	1	27	19
Phosphatidylglycerophosphate synthase	0	1	1	NA	COG0558	GC_00000746, GC_00002237, GC_00003581	1	1	27	19
Alkyl hydroperoxide reductase subunit AhpF	0	1	1	NA	COG3634	GC_00000294	1	1	27	19
O-succinylbenzoate synthase	0	1	1	NA	COG1441	GC_00002670	1	1	27	19
ABC-type transporter Mla maintaining outer membrane lipid asymmetry, periplasmic MlaC component	0	1	1	NA	COG2854	GC_00001936	1	1	27	19
Preprotein translocase subunit SecY	0	1	1	NA	COG0201	GC_00000586	1	1	27	19
Carbon starvation protein CstA	0	1	1	NA	COG1966	GC_00000115, GC_00003299	1	1	27	19
Uncharacterized membrane protein YjjB, DUF3815 family	0	1	1	NA	COG3610	GC_00000360	1	1	27	19
Acyl-CoA dehydrogenase related to the alkylation response protein AidB	0	1	1	NA	COG1960	GC_00000198, GC_00000818, GC_00002869, GC_00002950, GC_00005486	1	1	27	19
Na+/phosphate symporter	0	1	1	NA	COG1283	GC_00001847	1	1	27	19
Beta-galactosidase/beta-glucuronidase	0	1	1	NA	COG3250	GC_00000134, GC_00002940, GC_00003254	1	1	27	19
Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIC	0	1	1	NA	COG3715	GC_00000658, GC_00001190, GC_00001693, GC_00003872, GC_00006752, GC_00007293	1	1	27	19
Lipoprotein-anchoring transpeptidase ErfK/SrfK	0	1	1	NA	COG1376	GC_00000796, GC_00002404, GC_00002610	1	1	27	19
Formyltetrahydrofolate hydrolase	0	1	1	NA	COG0788	GC_00001423	1	1	27	19
Uncharacterized membrane protein YcaP, DUF421 family	0	1	1	NA	COG2323	GC_00001944	1	1	27	19
Uncharacterized protein involved in tolerance to divalent cations	0	1	1	NA	COG1324	GC_00001367	1	1	27	19
Phosphotransferase system fructose-specific component IIB	0	1	1	NA	COG1445	GC_00000862, GC_00000999, GC_00001670, GC_00004310	1	1	27	19
Long-chain fatty acid transport protein	0	1	1	NA	COG2067	GC_00003676, GC_00004909	1	1	27	19
Arginine/lysine/ornithine decarboxylase	0	1	1	NA	COG1982	GC_00000436, GC_00001400, GC_00002955, GC_00003425, GC_00009944	1	1	27	19
ABC-type antimicrobial peptide transport system, permease component	0	1	1	NA	COG4171	GC_00001022, GC_00001533, GC_00006774, GC_00007007	1	1	27	19
Sec-independent protein translocase protein TatA	0	1	1	NA	COG1826	GC_00000268, GC_00000936, GC_00001384	1	1	27	19
Uncharacterized membrane protein YjdF	0	1	1	NA	COG3647	GC_00000181	1	1	27	19
Transcription termination factor NusB	0	1	1	NA	COG0781	GC_00000712	1	1	27	19
Translation elongation factor EF-4, membrane-bound GTPase	0	1	1	NA	COG0481	GC_00001238	1	1	27	19
Uncharacterized conserved protein YheU, UPF0270 family	0	1	1	NA	COG3089	GC_00000875	1	1	27	19
ABC-type branched-chain amino acid transport system, permease component	0	1	1	NA	COG4177	GC_00002519	1	1	27	19
Uncharacterized protein with protein kinase and helix-hairpin-helix DNA-binding domains	0	1	1	NA	COG4248	GC_00000520, GC_00011509	1	1	27	19
Regulator of RNase E activity RraA	0	1	1	NA	COG0684	GC_00000531, GC_00006457	1	1	27	19
Periplasmic deferrochelatase/peroxidase EfeB	0	1	1	NA	COG2837	GC_00001548, GC_00002555	1	1	27	19
Malonyl CoA-acyl carrier protein transacylase	0	1	1	NA	COG0331	GC_00001150, GC_00004282, GC_00005442	1	1	27	19
Hemolysin or related protein, contains CBS domains	0	1	1	NA	COG1253	GC_00000399, GC_00001036	1	1	27	19
ABC-type methionine transport system, ATPase component	0	1	1	NA	COG1135	GC_00001170	1	1	27	19
Phosphoenolpyruvate synthase/pyruvate phosphate dikinase!!!Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)	0	1	1	NA	COG0574!!!COG1080	GC_00002131	1	1	27	19
Glutamate synthase domain 1!!!Glutamate synthase domain 2!!!Glutamate synthase domain 3	0	1	1	NA	COG0067!!!COG0069!!!COG0070	GC_00000242	1	1	27	19
DNA-binding transcriptional regulator YiaG, XRE-type HTH domain	0	1	1	NA	COG2944	GC_00000785, GC_00004158, GC_00004419, GC_00004586, GC_00004678, GC_00004707, GC_00004874, GC_00004905, GC_00005725, GC_00007512, GC_00008047, GC_00008186, GC_00008410, GC_00008696, GC_00009808, GC_00009850	1	1	27	19
50S ribosomal subunit-associated GTPase HflX	0	1	1	NA	COG2262	GC_00001598	1	1	27	19
Stress-induced morphogen (activity unknown)	0	1	1	NA	COG0271	GC_00000550	1	1	27	19
Hemoglobin-like flavoprotein!!!Ferredoxin-NADP reductase	0	1	1	NA	COG1017!!!COG1018	GC_00002101	1	1	27	19
